Date,HomeTeam,AwayTeam,xG_Home,xG_Away,P_Home,P_Draw,P_Away,Prediction,Actual,Correct
2023-08-18,Werder Bremen,Bayern Munich,2.58,1.68,0.571,0.184,0.244,H,A,False
2023-08-19,Dortmund,FC Koln,2.18,2.06,0.422,0.2,0.377,H,H,True
2023-08-19,Wolfsburg,Heidenheim,1.86,2.35,0.31,0.196,0.493,A,H,False
2023-08-19,Stuttgart,Bochum,1.38,1.41,0.367,0.253,0.38,A,H,False
2023-08-19,Augsburg,M'gladbach,1.47,1.42,0.388,0.248,0.364,H,D,False
2023-08-19,Hoffenheim,Freiburg,1.86,1.62,0.438,0.222,0.34,H,A,False
2023-08-19,Leverkusen,RB Leipzig,2.72,1.96,0.542,0.18,0.276,H,H,True
2023-08-20,Union Berlin,Mainz,1.65,2.02,0.319,0.214,0.467,A,H,False
2023-08-20,Ein Frankfurt,Darmstadt,1.88,2.41,0.304,0.193,0.501,A,H,False
2023-08-25,RB Leipzig,Stuttgart,1.83,2.02,0.358,0.211,0.431,A,H,False
2023-08-26,Heidenheim,Hoffenheim,2.3,1.48,0.559,0.198,0.242,H,A,False
2023-08-26,M'gladbach,Leverkusen,2.72,2.13,0.511,0.181,0.306,H,A,False
2023-08-26,Freiburg,Werder Bremen,1.65,2.12,0.305,0.209,0.486,A,H,False
2023-08-26,Darmstadt,Union Berlin,2.16,1.51,0.526,0.206,0.267,H,A,False
2023-08-26,Bochum,Dortmund,2.59,1.69,0.572,0.184,0.243,H,D,False
2023-08-26,FC Koln,Wolfsburg,2.53,1.72,0.553,0.187,0.258,H,A,False
2023-08-27,Mainz,Ein Frankfurt,2.11,1.92,0.434,0.205,0.36,H,D,False
2023-08-27,Bayern Munich,Augsburg,2.34,2.02,0.461,0.195,0.342,H,H,True
2023-09-01,Dortmund,Heidenheim,2.43,2.42,0.406,0.187,0.405,H,D,False
2023-09-02,Augsburg,Bochum,1.31,1.33,0.364,0.261,0.375,A,D,False
2023-09-02,Hoffenheim,Wolfsburg,2.62,1.64,0.586,0.181,0.231,H,H,True
2023-09-02,Leverkusen,Darmstadt,1.95,2.18,0.356,0.202,0.441,A,H,False
2023-09-02,Stuttgart,Freiburg,1.74,1.52,0.432,0.23,0.338,H,H,True
2023-09-02,Werder Bremen,Mainz,1.57,1.38,0.42,0.244,0.336,H,H,True
2023-09-02,M'gladbach,Bayern Munich,2.72,2.46,0.452,0.179,0.366,H,A,False
2023-09-03,Ein Frankfurt,FC Koln,1.69,2.06,0.322,0.211,0.467,A,D,False
2023-09-03,Union Berlin,RB Leipzig,2.71,2.17,0.501,0.181,0.315,H,A,False
2023-09-15,Bayern Munich,Leverkusen,2.72,2.12,0.512,0.181,0.305,H,D,False
2023-09-16,RB Leipzig,Augsburg,1.97,2.03,0.385,0.207,0.408,A,H,False
2023-09-16,Mainz,Stuttgart,1.68,1.89,0.347,0.219,0.433,A,A,True
2023-09-16,Wolfsburg,Union Berlin,2.03,1.97,0.408,0.207,0.384,H,H,True
2023-09-16,FC Koln,Hoffenheim,2.01,1.66,0.463,0.214,0.323,H,A,False
2023-09-16,Freiburg,Dortmund,2.63,2.26,0.471,0.183,0.343,H,A,False
2023-09-16,Bochum,Ein Frankfurt,2.02,1.53,0.492,0.215,0.293,H,D,False
2023-09-17,Heidenheim,Werder Bremen,1.85,1.57,0.445,0.224,0.331,H,H,True
2023-09-17,Darmstadt,M'gladbach,1.82,1.49,0.455,0.227,0.318,H,D,False
2023-09-22,Stuttgart,Darmstadt,1.68,1.79,0.365,0.223,0.411,A,H,False
2023-09-23,Augsburg,Mainz,1.47,1.42,0.386,0.248,0.366,H,H,True
2023-09-23,Bayern Munich,Bochum,1.95,1.89,0.407,0.211,0.381,H,H,True
2023-09-23,Dortmund,Wolfsburg,2.72,2.07,0.521,0.181,0.296,H,H,True
2023-09-23,M'gladbach,RB Leipzig,2.72,2.17,0.502,0.181,0.314,H,A,False
2023-09-23,Union Berlin,Hoffenheim,2.09,1.99,0.415,0.205,0.38,H,A,False
2023-09-23,Werder Bremen,FC Koln,1.54,1.4,0.407,0.245,0.347,H,H,True
2023-09-24,Leverkusen,Heidenheim,1.96,2.19,0.355,0.202,0.442,A,H,False
2023-09-24,Ein Frankfurt,Freiburg,1.95,2.05,0.377,0.207,0.415,A,D,False
2023-09-29,Hoffenheim,Dortmund,2.66,1.79,0.563,0.181,0.253,H,A,False
2023-09-30,RB Leipzig,Bayern Munich,2.72,2.46,0.452,0.179,0.366,H,D,False
2023-09-30,Wolfsburg,Ein Frankfurt,2.14,1.99,0.428,0.203,0.369,H,H,True
2023-09-30,Mainz,Leverkusen,2.72,2.0,0.535,0.18,0.282,H,A,False
2023-09-30,Heidenheim,Union Berlin,2.17,1.5,0.528,0.206,0.266,H,H,True
2023-09-30,FC Koln,Stuttgart,1.59,1.68,0.366,0.231,0.403,A,A,True
2023-09-30,Bochum,M'gladbach,1.61,1.5,0.405,0.238,0.357,H,A,False
2023-10-01,Darmstadt,Werder Bremen,1.84,1.57,0.444,0.224,0.332,H,H,True
2023-10-01,Freiburg,Augsburg,1.75,2.03,0.339,0.212,0.449,A,H,False
2023-10-06,M'gladbach,Mainz,1.72,2.02,0.335,0.213,0.452,A,D,False
2023-10-07,Augsburg,Darmstadt,1.6,1.7,0.364,0.23,0.406,A,A,True
2023-10-07,Dortmund,Union Berlin,2.64,2.03,0.516,0.184,0.298,H,H,True
2023-10-07,RB Leipzig,Bochum,1.64,1.9,0.338,0.22,0.442,A,D,False
2023-10-07,Stuttgart,Wolfsburg,2.45,1.54,0.576,0.189,0.234,H,H,True
2023-10-07,Werder Bremen,Hoffenheim,1.98,1.36,0.52,0.218,0.262,H,A,False
2023-10-08,Ein Frankfurt,Heidenheim,1.88,2.42,0.303,0.193,0.503,A,H,False
2023-10-08,Leverkusen,FC Koln,1.75,1.85,0.37,0.219,0.411,A,H,False
2023-10-08,Bayern Munich,Freiburg,2.47,2.04,0.482,0.191,0.326,H,H,True
2023-10-20,Dortmund,Werder Bremen,2.26,2.12,0.427,0.197,0.375,H,H,True
