Match_ID,Player_Name,Team,Def_Tackles_Won,Def_Interceptions,Pen_Errors
2015_16_266440,Eliaquim Mangala,Valencia,0,0,0
2015_16_266440,Martín Montoya Torralbo,Valencia,0,2,0
2015_16_266440,José Luis Gayà Peña,Valencia,0,3,0
2015_16_266440,Ezequiel Marcelo Garay,Valencia,0,1,0
2015_16_266440,Gerard Piqué Bernabéu,Barcelona,0,2,1
2015_16_266440,Andrés Iniesta Luján,Barcelona,0,0,0
2015_16_266440,Samuel Yves Umtiti,Barcelona,0,1,0
2015_16_266440,Javier Alejandro Mascherano,Barcelona,0,0,0
2015_16_266440,Rafael Alcântara do Nascimento,Barcelona,0,0,0
2015_16_266440,André Filipe Tavares Gomes,Barcelona,0,0,0
