Match_ID,Player_Name,Team,Def_Interceptions,Pen_Errors
2015_16_266440,Aymen Abdennour,Valencia,1,0
2015_16_266440,Enzo Nicolás Pérez,Valencia,3,0
2015_16_266440,Carlos Soler Barragán,Valencia,0,0
2015_16_266440,Daniel Parejo Muñoz,Valencia,1,0
2015_16_266440,Zakaria Bakkali,Valencia,0,0
2015_16_266440,João Pedro Cavaco Cancelo,Valencia,0,0
2015_16_266440,Fabián Ariel Orellana Valenzuela,Valencia,0,0
2015_16_266440,Neymar da Silva Santos Junior,Barcelona,2,0
2015_16_266440,Sergio Busquets i Burgos,Barcelona,1,0
2015_16_266440,Ivan Rakitić,Barcelona,0,0
2015_16_266440,Lionel Andrés Messi Cuccittini,Barcelona,0,0
2015_16_266440,Sergi Roberto Carnicer,Barcelona,1,0
