K,Reversion,Accuracy
0.02,0.8,43.79
0.01,0.6,43.79
0.01,0.7,43.79
0.01,0.7,43.79
0.01,0.7,43.79
0.01,0.7,43.79
0.01,0.7,43.79
0.01,0.7,43.79
0.01,0.7,43.79
0.01,0.7,43.79
0.01,0.6,43.79
0.01,0.6,43.79
0.01,0.6,43.79
0.02,0.8,43.79
0.01,0.8,43.79
0.02,0.8,43.79
0.02,0.8,43.79
0.02,0.8,43.79
0.02,0.8,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.005,0.8,43.79
0.015,0.8,43.79
0.015,0.7,43.79
0.015,0.7,43.79
0.015,0.7,43.79
0.015,0.7,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.01,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.015,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.01,0.8,43.79
0.005,0.8,43.79
0.02,0.7,43.79
0.005,0.8,43.79
0.005,0.6,43.79
0.005,0.5,43.79
0.005,0.7,43.79
0.005,0.5,43.79
0.005,0.6,43.79
0.005,0.7,43.79
0.005,0.6,43.79
0.005,0.6,43.79
0.005,0.6,43.79
0.005,0.7,43.79
0.005,0.6,43.79
0.005,0.7,43.79
0.02,0.8,43.79
0.005,0.7,43.79
0.005,0.6,43.79
0.005,0.6,43.79
0.005,0.7,43.79
0.005,0.7,43.79
0.005,0.6,43.79
0.005,0.6,43.79
0.005,0.7,43.79
0.005,0.7,43.79
0.005,0.8,43.79
0.005,0.6,43.79
0.005,0.7,43.79
0.005,0.6,43.79
0.005,0.5,43.79
0.005,0.7,43.79
0.005,0.7,43.79
0.005,0.5,43.79
0.005,0.7,43.79
0.005,0.7,43.79
0.005,0.7,43.79
0.005,0.7,43.79
0.005,0.5,43.79
0.005,0.8,43.79
0.005,0.5,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.005,0.8,43.79
0.005,0.5,43.79
0.005,0.8,43.79
0.005,0.5,43.79
0.015,0.8,43.46
0.02,0.8,43.46
0.005,0.5,43.46
0.015,0.8,43.46
0.005,0.5,43.46
0.015,0.8,43.46
0.005,0.5,43.46
0.015,0.8,43.46
0.005,0.5,43.46
0.015,0.6,43.46
0.015,0.7,43.46
0.01,0.7,43.46
0.01,0.7,43.46
0.02,0.8,43.46
0.01,0.5,43.46
0.02,0.7,43.46
0.02,0.7,43.46
0.01,0.6,43.46
0.01,0.6,43.46
0.01,0.6,43.46
0.01,0.6,43.46
0.01,0.7,43.46
0.01,0.7,43.46
0.01,0.8,43.14
0.015,0.7,43.14
0.015,0.7,43.14
0.005,0.6,43.14
0.015,0.7,43.14
0.01,0.8,43.14
0.02,0.6,43.14
0.01,0.8,43.14
0.005,0.6,43.14
0.005,0.6,43.14
0.005,0.6,43.14
0.01,0.8,43.14
0.015,0.6,42.81
0.01,0.5,42.81
0.01,0.5,42.81
0.01,0.5,42.81
0.015,0.7,42.48
0.02,0.8,42.16
0.015,0.6,42.16
0.015,0.6,42.16
0.02,0.8,42.16
0.01,0.6,42.16
0.02,0.8,42.16
0.01,0.6,42.16
0.01,0.6,42.16
0.01,0.6,42.16
0.01,0.5,42.16
0.015,0.7,41.83
0.02,0.7,41.83
0.01,0.7,41.83
0.01,0.7,41.83
0.015,0.5,41.83
0.01,0.7,41.83
0.01,0.7,41.83
0.015,0.7,41.5
0.02,0.7,41.5
0.015,0.7,41.5
0.02,0.6,41.5
0.005,0.5,41.5
0.005,0.5,41.5
0.005,0.5,41.5
0.005,0.5,41.5
0.015,0.6,41.18
0.02,0.7,41.18
0.02,0.5,40.85
0.015,0.6,40.85
0.02,0.7,40.85
0.02,0.7,40.52
0.01,0.5,40.52
0.02,0.8,40.52
0.01,0.5,40.2
0.01,0.5,40.2
0.015,0.6,39.87
0.02,0.8,39.87
0.02,0.8,39.87
0.02,0.6,39.87
0.02,0.7,39.87
0.01,0.5,39.54
0.02,0.8,39.54
0.01,0.6,39.54
0.015,0.5,39.54
0.01,0.6,39.22
0.015,0.5,39.22
0.01,0.6,39.22
0.01,0.6,39.22
0.01,0.5,39.22
0.015,0.5,38.89
0.015,0.7,38.89
0.01,0.5,38.56
0.02,0.7,38.56
0.01,0.5,38.56
0.02,0.5,38.56
0.015,0.6,38.56
0.015,0.6,38.56
0.015,0.6,38.56
0.02,0.7,38.24
0.02,0.7,38.24
0.015,0.6,38.24
0.02,0.5,38.24
0.02,0.6,38.24
0.01,0.5,37.91
0.02,0.6,37.91
0.015,0.5,37.91
0.015,0.6,37.91
0.01,0.5,37.58
0.015,0.7,37.58
0.02,0.7,37.58
0.015,0.7,37.58
0.015,0.7,37.58
0.01,0.5,37.58
0.015,0.6,37.25
0.02,0.5,37.25
0.01,0.5,37.25
0.02,0.7,36.93
0.02,0.6,36.93
0.02,0.6,36.93
0.02,0.5,36.93
0.02,0.6,36.6
0.02,0.6,36.27
0.015,0.5,36.27
0.015,0.5,35.95
0.015,0.5,35.62
0.02,0.5,35.62
0.02,0.5,35.29
0.02,0.7,34.97
0.02,0.5,34.97
0.02,0.6,34.97
0.02,0.7,34.64
0.015,0.5,34.64
0.015,0.6,34.64
0.015,0.6,34.31
0.015,0.5,34.31
0.02,0.6,34.31
0.015,0.5,33.99
0.02,0.6,33.99
0.015,0.6,33.99
0.02,0.6,33.66
0.015,0.5,33.33
0.015,0.5,33.01
0.02,0.5,33.01
0.02,0.5,32.68
0.015,0.5,31.7
0.015,0.5,31.7
0.02,0.6,31.7
0.02,0.6,31.37
0.02,0.5,30.72
0.02,0.5,30.07
0.02,0.5,29.41
0.015,0.5,29.41
0.02,0.5,29.41
0.02,0.6,28.76
0.02,0.5,28.43
0.02,0.5,27.12
