Player,Pos,Min,Gls,Ast,Sh,SoT,CrdY,CrdR,TklW,Int,Fls,Fld,Team,Match_ID,Date,Season
Maximilian Beier,FW,87,0,0,4,2,0,0,0,0,0,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Mergim Berisha,FW,3,0,0,0,0,0,0,0,0,0,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Wout Weghorst,FW,90,1,0,2,1,1,0,0,0,0,2,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Grischa Prömel,LM,90,0,0,0,0,1,0,0,0,1,1,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Marius Bülter,CM,90,0,0,1,1,0,0,0,0,1,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Anton Stach,CM,90,1,0,1,1,0,0,2,2,1,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Finn Ole Becker,CM,77,0,0,1,1,0,0,1,0,1,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Andrej Kramarić,"FW,MF",13,0,0,1,0,0,0,0,0,0,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Robert Skov,RM,78,0,0,2,1,0,0,2,1,1,3,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Ihlas Bebou,"FW,MF",12,0,0,0,0,0,0,0,0,0,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Kevin Akpoguma,CB,87,0,0,0,0,0,0,1,1,0,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Bambasé Conté,MF,3,0,0,0,0,0,0,1,0,0,1,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Kevin Vogt,CB,90,0,0,0,0,0,0,0,3,0,1,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Ozan Kabak,CB,90,0,0,0,0,1,0,0,3,1,0,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Oliver Baumann,GK,90,0,0,0,0,0,0,0,0,0,1,Hoffenheim,c0894ab7,November-4-2023,2023-2024
15 Players,,990,2,0,12,7,3,0,7,10,6,9,Hoffenheim,c0894ab7,November-4-2023,2023-2024
Victor Boniface,FW,87,0,2,1,1,0,0,0,0,1,1,Leverkusen,c0894ab7,November-4-2023,2023-2024
Amine Adli,"FW,MF",3,0,0,0,0,0,0,0,0,1,0,Leverkusen,c0894ab7,November-4-2023,2023-2024
Florian Wirtz,AM,89,1,0,1,1,0,0,0,0,1,0,Leverkusen,c0894ab7,November-4-2023,2023-2024
Adam Hložek,"FW,MF",1,0,0,0,0,0,0,1,0,1,0,Leverkusen,c0894ab7,November-4-2023,2023-2024
Jonas Hofmann,AM,79,0,1,2,0,0,0,0,0,1,0,Leverkusen,c0894ab7,November-4-2023,2023-2024
Robert Andrich,"DF,MF",11,0,0,0,0,0,0,0,0,0,0,Leverkusen,c0894ab7,November-4-2023,2023-2024
Álex Grimaldo,DM,90,2,0,3,3,0,0,0,0,0,1,Leverkusen,c0894ab7,November-4-2023,2023-2024
Granit Xhaka,DM,90,0,0,0,0,0,0,2,1,1,1,Leverkusen,c0894ab7,November-4-2023,2023-2024
Exequiel Palacios,DM,90,0,0,0,0,0,0,0,1,0,2,Leverkusen,c0894ab7,November-4-2023,2023-2024
Jeremie Frimpong,DM,90,0,0,2,0,0,0,0,0,1,1,Leverkusen,c0894ab7,November-4-2023,2023-2024
