Player,Pos,Min,Gls,Ast,Sh,SoT,CrdY,CrdR,TklW,Int,Fls,Fld,Team,Match_ID,Date,Season
Mohamed Amoura,FW,90,1,0,6,2,1,0,0,0,2,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
Tiago Tomás,AM,79,0,0,3,1,0,0,0,0,1,4,Wolfsburg,41c73b44,November-2-2024,2024-2025
Lukas Nmecha,FW,11,0,0,1,0,0,0,0,0,1,1,Wolfsburg,41c73b44,November-2-2024,2024-2025
Jonas Wind,AM,56,0,0,1,0,0,0,0,0,0,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
Lovro Majer,"FW,MF",11,0,0,0,0,0,0,0,0,0,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
Yannick Gerhardt,"DF,MF",23,0,0,0,0,0,0,0,0,0,1,Wolfsburg,41c73b44,November-2-2024,2024-2025
Ridle Baku,AM,79,0,0,2,0,0,0,0,0,0,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
Jakub Kamiński,MF,11,0,0,0,0,0,0,0,0,1,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
Maximilian Arnold,DM,90,0,0,1,1,0,0,0,4,0,2,Wolfsburg,41c73b44,November-2-2024,2024-2025
Bence Dárdai,DM,90,0,0,0,0,0,0,4,0,1,1,Wolfsburg,41c73b44,November-2-2024,2024-2025
Joakim Mæhle,LB,90,0,1,2,2,0,0,0,0,0,1,Wolfsburg,41c73b44,November-2-2024,2024-2025
Konstantinos Koulierakis,CB,90,0,0,1,0,0,0,1,0,0,3,Wolfsburg,41c73b44,November-2-2024,2024-2025
Denis Vavro,CB,90,0,0,1,0,0,0,0,1,0,1,Wolfsburg,41c73b44,November-2-2024,2024-2025
Kilian Fischer,RB,56,0,0,0,0,0,0,0,0,1,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
Kevin Behrens,FW,34,0,0,0,0,0,0,0,0,0,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
Kamil Grabara,GK,90,0,0,0,0,0,0,0,0,0,0,Wolfsburg,41c73b44,November-2-2024,2024-2025
16 Players,,990,1,1,18,6,1,0,5,5,7,14,Wolfsburg,41c73b44,November-2-2024,2024-2025
Phillip Tietz,FW,65,1,0,1,1,0,0,0,0,1,0,Augsburg,41c73b44,November-2-2024,2024-2025
Samuel Essende,FW,25,0,0,1,0,1,0,0,0,1,0,Augsburg,41c73b44,November-2-2024,2024-2025
Alexis Claude-Maurice,FW,65,0,0,1,0,0,0,0,0,2,0,Augsburg,41c73b44,November-2-2024,2024-2025
