Player_Name,Team,Season,Position_Played,Minutes_Played,Games_Played,Goals,Assists,Shots_on_Target,Key_Passes,Cards_Y,Cards_R,xG,xA,xGChain,xGBuildup,Non_Penalty_Goals,npxG
Alexander Meier,Eintracht Frankfurt,2014/2015,FW,2209,26,19,2,80,22,0,0,15.395929794758558,1.2686933176591992,12.40880362968892,1.915657211095095,16,12.364835809916258
Robert Lewandowski,Bayern Munich,2014/2015,FW,2493,31,17,5,104,32,0,0,17.72217770665884,4.644012862816453,23.31543641909957,4.92482384480536,16,16.96440165489912
Arjen Robben,Bayern Munich,2014/2015,FW,1681,21,17,7,88,50,0,0,10.364112544804811,7.505978640168905,20.820979438722137,8.605797499418259,15,8.848719526082277
Bas Dost,Wolfsburg,2014/2015,FW,1532,21,16,4,43,15,1,0,11.341979898512363,2.659186404198408,15.911893963813782,2.538304625079036,16,11.341979898512363
Pierre-Emerick Aubameyang,Borussia Dortmund,2014/2015,FW,2724,33,16,6,102,46,4,0,15.396766778081656,6.378021429292858,20.85270912759006,2.512648966163397,14,13.881214778870344
Thomas Müller,Bayern Munich,2014/2015,FW,2382,32,13,10,83,40,1,0,14.078109433874488,6.459185007959604,23.158113352954388,6.340481746941805,10,11.804781360551717
Franco Di Santo,Werder Bremen,2014/2015,FW,2301,26,13,2,54,24,8,0,9.417815536260605,1.7892142124474049,9.532516993582249,2.3856412060558796,10,6.386788010597229
Karim Bellarabi,Bayer Leverkusen,2014/2015,FW,2731,33,12,6,104,45,5,0,10.108169626444578,4.98108253441751,18.11762835457921,5.559333937242627,12,10.108169626444578
Raffael,Borussia M.Gladbach,2014/2015,FW,2386,31,12,2,67,42,1,0,10.890817238017917,4.342749115079641,20.30747900903225,8.150456285104156,12,10.890817238017917
Shinji Okazaki,Mainz 05,2014/2015,FW,2787,32,12,3,59,26,4,0,9.83270476013422,3.2734946897253394,12.56701660528779,2.356663800776005,12,9.83270476013422
Max Kruse,Borussia M.Gladbach,2014/2015,FW,2586,32,11,9,65,77,2,0,11.078696148470044,8.65363187622279,21.17549055442214,9.910093931481242,8,8.80536986514926
Patrick Herrmann,Borussia M.Gladbach,2014/2015,FW,2214,32,11,4,50,34,5,0,9.384360551834106,5.1314405258744955,16.353567346930504,6.580174368806183,11,9.384360551834106
Son Heung-Min,Bayer Leverkusen,2014/2015,MF,2305,30,11,2,63,39,4,0,5.336322458460927,2.7342332247644663,10.994485611096025,5.067229459062219,11,5.336322458460927
Anthony Ujah,FC Cologne,2014/2015,FW,2357,32,10,3,59,33,2,0,7.948405441828072,4.075045397505164,12.668221244588494,3.046834109351039,10,7.948405441828072
Lars Stindl,Hannover 96,2014/2015,MF,1798,21,10,3,51,33,7,1,6.093045482411981,3.359395185019821,9.146016255021095,3.9367344714701176,9,5.335269482806325
Raúl Bobadilla,Augsburg,2014/2015,FW,2629,32,10,2,83,41,4,1,10.460188976489007,2.7539713326841593,11.91606995742768,2.5326402857899666,10,10.460188976489007
Haris Seferovic,Eintracht Frankfurt,2014/2015,FW,2855,32,10,5,94,34,8,1,9.434237819164991,5.471470756456256,16.650214478373528,6.137012177146971,10,9.434237819164991
Kevin De Bruyne,Wolfsburg,2014/2015,FW,3052,34,10,20,96,112,3,0,7.724068632349372,14.308948811143637,29.50168786942959,13.275837710127234,10,7.724068632349372
Stefan Kießling,Bayer Leverkusen,2014/2015,FW,2583,34,9,4,56,35,4,0,10.359310634434223,2.7110076528042555,13.720589928328993,3.652113825082779,9,10.359310634434223
Stefan Aigner,Eintracht Frankfurt,2014/2015,MF,2094,28,9,0,43,28,8,0,7.044445146806538,1.952589268796146,10.180807400494814,3.545726163312793,9,7.044445146806538
Eric Maxim Choupo-Moting,Schalke 04,2014/2015,FW,2559,31,9,6,68,36,0,0,7.072097857482731,4.776003364473581,10.415340485051274,4.128838584758341,7,4.798764509148896
Klaas-Jan Huntelaar,Schalke 04,2014/2015,FW,2439,28,9,3,74,29,5,1,10.226353202015162,2.1830247892066836,13.09086556173861,3.136668346822262,9,10.226353202015162
Martin Harnik,VfB Stuttgart,2014/2015,FW,2247,28,9,2,52,18,1,2,9.138762723654509,2.701492426916957,11.59481216967106,2.3804242126643658,9,9.138762723654509
Mario Götze,Bayern Munich,2014/2015,FW,2248,32,9,2,60,44,1,0,7.594283798709512,4.919823703356087,16.835454052314162,7.79183504730463,9,7.594283798709512
Nils Petersen,"Freiburg,Werder Bremen",2014/2015,FW,720,19,9,2,23,12,0,0,7.257388286292553,1.4266801942139864,8.115517653524876,0.6233999924734235,8,6.499613277614117
Davie Selke,Werder Bremen,2014/2015,FW,1993,30,9,3,43,20,4,0,8.066062340512872,1.9156082449480891,8.479338709264994,0.7151702949777246,9,8.066062340512872
Kevin Volland,Hoffenheim,2014/2015,FW,2674,32,8,5,84,46,6,0,5.710137441754341,5.175808847881854,14.622149877250196,5.201550957746804,8,5.710137441754341
Hakan Calhanoglu,Bayer Leverkusen,2014/2015,FW,2528,33,8,6,105,73,3,0,5.910271600820124,5.44556172285229,12.05052139237523,6.4762737564742565,8,5.152494610287249
Tobias Werner,Augsburg,2014/2015,MF,2640,31,8,4,67,52,8,0,7.222859096713364,4.9801513738930225,10.419743299484251,2.180762439034879,8,6.465086084790528
